work_dedication,salary_comparison_last_semester,profile_level_study,profile_gender,profile_experience_range,list_of_normalized_languages,usd_monthly_gross_salary
full-time,3,,X,3-5,"['bash/shell', 'groovy', 'java', 'javascript', 'python']",1067.439289390416
full-time,2,Secundario,X,6-10,"['c', 'sql']",876.8251305706988
full-time,4,,X,3-5,"['javascript', 'sql', 'typescript']",2112.004879722466
full-time,1,,X,1-2,"['python', 'sql']",571.8424764591514
full-time,3,Universitario,X,10+,"['bash/shell', 'html', 'javascript', 'python', 'sql']",1786.8361861919104
full-time,3,Posgrado/Especialización,M,1-2,"['javascript', 'sql', 'typescript']",838.7022988067554
full-time,3,Universitario,M,1-2,"['javascript', 'python', 'sql']",1563.0361023216803
full-time,4,,M,1-2,"['css', 'javascript', 'typescript']",419.3511494033777
full-time,4,Universitario,M,1-2,"['css', 'html', 'javascript', 'sql']",1067.439289390416
full-time,2,,M,1-2,"['css', 'html', 'java', 'javascript', 'typescript']",464.5572033090618
full-time,4,Universitario,M,0-1,"['bash/shell', 'html', 'javascript', 'typescript']",3030.765125233502
full-time,2,,M,6-10,"['css', 'go', 'java', 'javascript', 'typescript']",1143.6849529183028
full-time,4,Universitario,M,3-5,"['.net', 'bash/shell', 'c++', 'css', 'groovy', 'html', 'java', 'javascript', 'python', 'sql']",1394.0490259616483
full-time,3,,M,10+,"['html', 'php', 'sql', 'vba']",762.4566352788685
full-time,2,,M,1-2,"['python', 'sql']",434.60028210895507
full-time,3,,M,6-10,['lua'],884.4496969234875
full-time,3,,M,3-5,"['bash/shell', 'java', 'javascript', 'kotlin', 'sql', 'swift']",1350.7681750600434
full-time,4,Universitario,M,3-5,"['java', 'javascript', 'typescript']",1639.2817658495674
full-time,3,Universitario,M,10+,"['bash/shell', 'java', 'javascript', 'python', 'r']",2592.3525599481527
full-time,2,,M,3-5,"['css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']",1410.5447752659068
full-time,3,,M,1-2,['java'],356.0672486752316
full-time,3,Terciario,M,3-5,"['java', 'python']",1795.5853760817354
full-time,2,,M,1-2,"['css', 'html', 'java', 'javascript', 'sql']",381.22831763943424
full-time,3,Terciario,M,3-5,"['groovy', 'java', 'kotlin', 'ruby']",1494.4150051465822
full-time,2,,M,10+,['java'],953.0707940985857
full-time,2,,M,1-2,"['html', 'javascript', 'php', 'sql']",495.59681293126454
full-time,1,Universitario,M,3-5,"['.net', 'c#', 'html', 'javascript', 'sql', 'typescript']",648.0881399870382
full-time,3,Universitario,M,1-2,"['objective-c', 'swift']",3137.509054172544
full-time,3,,M,6-10,"['java', 'javascript', 'typescript']",1334.29911173802
full-time,2,Universitario,M,1-2,"['html', 'javascript']",1002.6304753917121
full-time,3,Universitario,M,6-10,['sql'],1096.0314132133735
full-time,2,Universitario,M,1-2,"['javascript', 'ruby', 'sql', 'typescript']",495.59681293126454
full-time,2,,M,6-10,"['bash/shell', 'java', 'javascript', 'sql']",1334.29911173802
full-time,3,Terciario,M,1-2,"['css', 'html', 'javascript', 'typescript']",922.5725286874309
full-time,3,Universitario,M,1-2,"['bash/shell', 'java', 'python']",2626.663108535702
full-time,4,,M,10+,"['assembler', 'bash/shell', 'c', 'c++', 'css', 'go', 'groovy', 'java', 'javascript', 'perl', 'python', 'sql', 'typescript']",6640.997293278945
full-time,3,Universitario,M,3-5,"['bash/shell', 'go', 'groovy', 'html', 'java', 'javascript', 'sql']",1376.8136937211696
full-time,1,,M,3-5,"['javascript', 'typescript']",819.6408829247837
full-time,1,Universitario,M,3-5,"['css', 'groovy', 'html', 'java', 'javascript', 'sql']",495.59681293126454
full-time,2,Secundario,M,1-2,"['css', 'html', 'javascript', 'python']",533.719644695208
full-time,2,Terciario,M,10+,"['go', 'java']",846.326865159544
full-time,1,Maestría,M,3-5,"['html', 'java', 'javascript', 'php', 'sql']",1160.4589988944379
full-time,3,Universitario,M,3-5,"['css', 'html', 'java', 'javascript', 'sql']",724.3338035149251
full-time,3,Universitario,M,10+,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",1646.906332202356
full-time,3,Terciario,M,3-5,"['css', 'html', 'javascript', 'typescript']",881.1060195951355
full-time,4,,M,0-1,"['javascript', 'sql']",571.8424764591514
full-time,3,Universitario,M,1-2,"['css', 'html', 'javascript', 'scala', 'sql', 'typescript']",991.1936258625291
full-time,3,,M,1-2,"['c++', 'python', 'sql']",648.0881399870382
full-time,3,,M,6-10,"['css', 'html', 'javascript', 'php', 'sql']",1138.2410125424117
full-time,3,,M,1-2,"['css', 'java', 'javascript', 'typescript']",752.9259273378826
full-time,2,,M,3-5,"['c#', 'java', 'javascript']",1143.6849529183028
full-time,2,Secundario,M,3-5,['python'],1399.1079257367237
full-time,3,Universitario,M,6-10,"['html', 'javascript', 'solidity', 'typescript']",3049.826541115474
full-time,4,,M,6-10,"['javascript', 'kotlin', 'objective-c', 'typescript']",876.8251305706988
full-time,3,Universitario,M,10+,"['.net', 'bash/shell', 'vba']",1086.5007052723877
full-time,4,,M,1-2,"['css', 'html', 'javascript', 'typescript']",656.9326369562731
full-time,3,Universitario,M,1-2,['html'],304.9826541115474
full-time,2,,M,1-2,"['bash/shell', 'groovy', 'javascript', 'sql']",381.22831763943424
full-time,2,Universitario,M,1-2,"['javascript', 'python', 'sql']",609.9653082230948
full-time,2,,M,3-5,"['css', 'html', 'javascript']",762.4566352788685
full-time,4,Universitario,M,1-2,"['css', 'html', 'javascript', 'php', 'sql']",640.4635736342495
full-time,3,Universitario,M,6-10,"['html', 'javascript', 'ruby']",1781.5294880103695
full-time,4,Terciario,M,1-2,"['java', 'javascript']",766.2689184552629
full-time,1,Universitario,M,3-5,"['.net', 'c#', 'css', 'html', 'javascript', 'typescript']",609.9653082230948
full-time,2,Terciario,M,6-10,"['java', 'kotlin', 'sql']",1715.5274293774542
full-time,3,,M,,"['php', 'python']",571.8424764591514
full-time,2,Universitario,M,3-5,"['bash/shell', 'java', 'python', 'sql']",1906.1415881971714
full-time,3,Universitario,M,0-1,"['go', 'javascript', 'sql']",284.39632495901793
full-time,1,,M,3-5,"['.net', 'html', 'java', 'javascript']",533.719644695208
full-time,3,,M,10+,"['go', 'java', 'javascript', 'python']",2134.878578780832
full-time,3,,M,10+,"['php', 'sql', 'vba']",1219.9306164461896
full-time,4,Universitario,M,1-2,"['css', 'html']",686.2109717509817
full-time,3,Universitario,M,3-5,"['.net', 'c++', 'c#', 'css', 'html', 'java', 'javascript', 'kotlin', 'sql', 'typescript']",770.0812016316572
full-time,4,,M,3-5,"['css', 'html', 'javascript', 'typescript']",1524.913270557737
full-time,3,Universitario,M,10+,['javascript'],2137.928405321947
full-time,3,Universitario,M,6-10,"['java', 'javascript', 'kotlin', 'objective-c', 'swift', 'typescript']",2859.212382295757
full-time,3,Universitario,M,10+,"['.net', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'typescript']",1743.7192634668902
full-time,2,,M,3-5,"['bash/shell', 'cobol', 'css', 'html', 'java', 'javascript', 'python', 'sql']",869.2005642179101
full-time,1,Universitario,M,1-2,"['javascript', 'python', 'typescript']",781.5180511608402
full-time,3,Universitario,M,10+,"['css', 'html', 'javascript', 'php', 'r', 'sql']",1101.0369410239794
full-time,2,,M,10+,"['.net', 'html', 'javascript', 'sql']",2477.9840646563225
full-time,3,Universitario,M,10+,"['bash/shell', 'python']",1165.7961953413899
full-time,3,,M,1-2,"['javascript', 'typescript']",705.2723876329534
full-time,3,Universitario,M,3-5,"['css', 'html', 'java', 'javascript', 'scala', 'sql', 'typescript']",1162.182150890168
full-time,2,,M,10+,"['css', 'html', 'java', 'python', 'sql']",1067.439289390416
full-time,4,Universitario,M,6-10,"['css', 'go', 'javascript']",5718.424764591514
full-time,4,Universitario,M,10+,['javascript'],1274.2022797453394
full-time,3,,M,3-5,"['css', 'html', 'javascript', 'php', 'sql', 'typescript']",857.7637146887271
full-time,3,Universitario,M,10+,"['java', 'javascript', 'python', 'sql']",2287.3699058366055
full-time,3,,M,6-10,"['c#', 'html', 'javascript', 'sql']",934.0093782166139
full-time,2,Universitario,M,10+,"['java', 'javascript', 'kotlin', 'sql']",1631.3789028249018
full-time,2,,M,1-2,"['.net', 'javascript', 'php']",1620.2203499675957
full-time,3,,M,1-2,['sql'],726.9261560748732
full-time,4,,M,3-5,"['javascript', 'typescript']",3011.7037093515305
full-time,3,,M,1-2,"['bash/shell', 'java', 'sql']",392.42118104532807
full-time,2,Secundario,M,0-1,"['css', 'html', 'javascript']",528.0012199306165
full-time,3,Universitario,M,6-10,"['abap', 'sql']",827.2654492775723
full-time,4,Universitario,M,3-5,"['css', 'html', 'javascript', 'python', 'typescript']",1898.5170218443825
